judul,kategori
"Menteri kesehatan laporkan penurunan kasus penyakit menular",politik
"Festival teater internasional tampilkan 20 pertunjukan",hiburan
"Teknologi hologram interaktif digunakan di mall",teknologi
"Pemain catur Indonesia jadi grand master termuda",olahraga
"Kredit perbankan tumbuh 12 persen year on year",ekonomi
"Pemerintah bentuk satuan tugas khusus tangani inflasi",politik
"Komika Indonesia tampil di acara stand up comedy Amerika",hiburan
"Robot humanoid buatan lokal dipamerkan di pameran teknologi",teknologi
"Atlet panahan raih emas di kejuaraan dunia indoor",olahraga
"Ekspor tekstil Indonesia tembus pasar Eropa",ekonomi
"DPR setujui anggaran kesehatan naik 20 persen",politik
"Sinetron religi raih rating tertinggi di bulan Ramadan",hiburan
"Teknologi IoT untuk smart city diterapkan di 10 kota",teknologi
"Tim futsal Indonesia juara AFF championship",olahraga
"Nilai ekspor non migas naik signifikan",ekonomi
"Pemilihan ketua umum partai digelar secara demokratis",politik
"Konser reunion band 90-an sold out dalam 2 jam",hiburan
"Aplikasi kesehatan berbasis AI capai 5 juta pengguna",teknologi
"Atlet karate raih medali di kejuaraan Eropa",olahraga
"Otoritas pajak kejar target penerimaan tahun ini",ekonomi
"Menteri BUMN rombak direksi beberapa perusahaan plat merah",politik
"Film dokumenter Indonesia tayang di Netflix",hiburan
"Teknologi face payment mulai digunakan di retail modern",teknologi
"Pembalap muda Indonesia juara Asia Talent Cup",olahraga
"Harga beras stabil di seluruh wilayah Indonesia",ekonomi
"Pemerintah gandeng swasta bangun infrastruktur strategis",politik
"Penyanyi Indonesia masuk nominasi MTV Awards",hiburan
"Drone pertanian dengan AI bantu petani tingkatkan hasil panen",teknologi
"Atlet selancar air raih juara dunia untuk pertama kali",olahraga
"Indeks kepercayaan konsumen meningkat di kuartal ketiga",ekonomi
"Jaksa agung dilantik setelah fit and proper test DPR",politik
"Produser musik Indonesia garap soundtrack film Hollywood",hiburan
"Teknologi voice assistant bahasa Indonesia diluncurkan",teknologi
"Tim polo air putri Indonesia juara Asia Tenggara",olahraga
"Pemerintah salurkan bantuan modal usaha UMKM",ekonomi
"Menteri agraria percepat program sertifikasi tanah",politik
"Presenter terkenal rilis buku autobiografi",hiburan
"Perusahaan e-commerce luncurkan fitur live shopping",teknologi
"Atlet lari marathon Indonesia pecahkan rekor nasional",olahraga
"Transaksi digital payment naik 300 persen dalam 3 tahun",ekonomi
"Komisi III DPR panggil kapolri bahas kasus terorisme",politik
"Serial web original produksi lokal tembus 100 juta viewers",hiburan
"Teknologi neural network untuk diagnosa medis diuji klinis",teknologi
"Pemain golf Indonesia juara turnamen PGA Asia",olahraga
"Investor asing beli obligasi pemerintah senilai 50 triliun",ekonomi
"Presiden tunjuk duta besar baru untuk PBB",politik
"Penyanyi dangdut raih triple platinum untuk album terbaru",hiburan
"Startup agritech kembangkan sensor tanah pintar",teknologi
"Kejuaraan atletik nasional pecahkan 15 rekor",olahraga
"Industri pariwisata pulih 80 persen pasca pandemi",ekonomi
"Menteri pertahanan kunjungi pangkalan militer di perbatasan",politik
"Film animasi Indonesia raih Best Animation Asia Pacific",hiburan
"Teknologi wireless charging untuk mobil listrik diperkenalkan",teknologi
"Atlet anggar remaja wakili Indonesia di olimpiade remaja",olahraga
"Dana pensiun negara raih return investasi 15 persen",ekonomi
"Pemilihan gubernur DKI Jakarta akan digelar tahun depan",politik
"Musisi indie Indonesia tur keliling Eropa",hiburan
"Perusahaan teknologi buka bootcamp coding gratis",teknologi
"Tim esports Indonesia juara Mobile Legends Southeast Asia Cup",olahraga
"Penjualan mobil listrik naik 200 persen tahun ini",ekonomi
"Menteri sosial salurkan bantuan untuk korban banjir",politik
"Acara award musik Indonesia digelar megah di Bali",hiburan
"Teknologi biodegradable plastic dari singkong dikembangkan",teknologi
"Atlet taekwondo raih emas di Asian Games",olahraga
"Koperasi simpan pinjam salurkan kredit UMKM 10 triliun",ekonomi
"Pemerintah teken MoU kerjasama ekonomi dengan negara G20",politik
"Sutradara perempuan Indonesia raih penghargaan internasional",hiburan
"Aplikasi transportasi online tambah fitur keamanan berbasis AI",teknologi
"Pemain bulutangkis ganda campuran juara All England",olahraga
"Produk ekspor furniture Indonesia laris di pasar global",ekonomi
"Menteri hukum dan HAM luncurkan sistem pelayanan publik digital",politik
"Konser musik jazz internasional di Borobudur",hiburan
"Teknologi vertical farming mulai diterapkan di perkotaan",teknologi
"Atlet menembak raih medali di kejuaraan dunia",olahraga
"Daya beli masyarakat meningkat seiring perbaikan ekonomi",ekonomi
"Sidang tahunan MPR bahas amandemen UUD 1945",politik
"Rapper Indonesia kolaborasi dengan rapper Korea",hiburan
"Startup logistik raih unicorn status",teknologi
"Tim sepak bola U-19 juara Piala AFF",olahraga
"Impor bahan baku industri meningkat dukung produksi",ekonomi
"Menteri kelautan dan perikanan canangkan program ketahanan pangan laut",politik
"Festival seni pertunjukan tradisional hadirkan seniman nusantara",hiburan
"Teknologi pengolahan sampah jadi energi listrik dikembangkan",teknologi
"Atlet skateboard Indonesia wakili Asia di X Games",olahraga
"Perusahaan asuransi bayar klaim 5 triliun tahun lalu",ekonomi
"Kepala staf kepresidenan sampaikan arahan presiden ke menteri",politik
"Film biografi tokoh nasional akan tayang akhir tahun",hiburan
"Perusahaan teknologi luncurkan laptop dengan layar lipat",teknologi
"Kejuaraan balap sepeda Indonesia diikuti 500 peserta",olahraga
"Sektor konstruksi tumbuh 8 persen didorong proyek infrastruktur",ekonomi
"Gubernur se-Indonesia rapat koordinasi dengan Kemendagri",politik
"Pelantun lagu viral raih kontrak rekaman major label",hiburan
"Teknologi smart mirror untuk fashion try-on diluncurkan",teknologi
"Tim hoki Indonesia raih perak di kejuaraan Asia",olahraga
"Pemerintah gelontorkan stimulus ekonomi 150 triliun",ekonomi
"Menteri ketenagakerjaan tingkatkan program pelatihan vokasi",politik
"Komposer muda Indonesia ciptakan soundtrack game internasional",hiburan
"Startup healthtech luncurkan telemedicine 24 jam",teknologi
"Atlet layar Indonesia juara kejuaraan dunia junior",olahraga
"Realisasi investasi tahun ini diprediksi lampaui target",ekonomi
"DPR tetapkan APBN tahun depan fokus pada pembangunan SDM",politik
"Acara talent show menyanyi raih rating fantastis",hiburan
"Teknologi desalinasi air laut skala besar dibangun",teknologi
"Pemain biliar Indonesia juara dunia 9-ball",olahraga
"Kementerian BUMN optimis capai laba Rp500 triliun",ekonomi
"Presiden terima kunjungan kepala negara Jerman",politik
"Penyanyi Indonesia akan tampil di Coachella Festival",hiburan
"Perusahaan teknologi kembangkan chip AI buatan lokal",teknologi
"Tim sepak takraw putra juara King's Cup Thailand",olahraga
"Bursa berjangka komoditas catat transaksi rekor",ekonomi
"Menteri komunikasi dan informatika berantas konten negatif",politik
"Serial komedi situasi Indonesia remake dari sitcom AS",hiburan
"Teknologi blockchain untuk supply chain management diterapkan",teknologi
"Atlet sofbol putri Indonesia lolos olimpiade",olahraga
"Kadin Indonesia gelar dialog dengan pelaku usaha",ekonomi
"Menteri pariwisata promosikan 10 destinasi prioritas",politik
"Youtuber Indonesia capai 20 juta subscribers",hiburan
"Startup fintech luncurkan kartu kredit digital tanpa biaya admin",teknologi
"Kejuaraan bola voli pantai internasional di Bali",olahraga
"Indeks manufaktur Indonesia memasuki zona ekspansi",ekonomi
"Komisi II DPR gelar hearing dengan kepala daerah",politik
"Konser tribute untuk musisi legendaris yang berpulang",hiburan
"Teknologi gesture control untuk smart home diluncurkan",teknologi
"Atlet judo raih medali emas di grand slam",olahraga
"Bank Indonesia optimis inflasi terkendali akhir tahun",ekonomi
"Menteri perdagangan perkuat diplomasi ekonomi bilateral",politik
"Produser film Indonesia garap proyek bersama Netflix",hiburan
"Teknologi thermal imaging untuk deteksi dini penyakit",teknologi
"Tim polo Indonesia juara Southeast Asian Water Polo Championship",olahraga
"Pemerintah tambah kuota impor daging untuk stabilkan harga",ekonomi
"Ketua DPR terima kunjungan delegasi parlemen negara sahabat",politik
"Festival tari kontemporer hadirkan koreografer internasional",hiburan
"Perusahaan teknologi luncurkan earbuds dengan noise cancelling adaptif",teknologi
"Atlet squash Indonesia raih juara Asian Games",olahraga
"Holding BUMN pertambangan resmi dibentuk",ekonomi
"Menteri lingkungan hidup luncurkan program penghijauan nasional",politik
"Film Indonesia masuk seleksi Festival Cannes",hiburan
"Teknologi smart grid untuk distribusi listrik lebih efisien",teknologi
"Pemain tenis Indonesia masuk peringkat 50 besar dunia",olahraga
"OJK catat pertumbuhan industri keuangan non-bank 18 persen",ekonomi
"Pemerintah daerah terapkan aplikasi perizinan online",politik
"Konser musik klasik orkes simfoni Jakarta di teater megah",hiburan
"Startup edukasi luncurkan platform belajar dengan AI tutor",teknologi
"Atlet wushu Indonesia dominasi kejuaraan Asia Tenggara",olahraga
"Penjualan semen nasional naik sejalan pembangunan infrastruktur",ekonomi
"Menteri agraria selesaikan konflik lahan di berbagai daerah",politik
"Peluncuran film superhero Indonesia dengan CGI berkualitas",hiburan
"Teknologi predictive maintenance untuk pabrik berbasis sensor IoT",teknologi
"Kejuaraan renang nasional cetak 20 rekor baru",olahraga
"Ekspor produk kreatif Indonesia tembus 2 miliar dolar",ekonomi
"Presiden buka sidang kabinet paripurna evaluasi kinerja",politik
"Penata musik Indonesia raih Grammy nomination",hiburan
"Perusahaan teknologi luncurkan smart watch dengan ECG monitor",teknologi
"Tim basket 3x3 Indonesia juara FIBA Asia Cup",olahraga
"Pemerintah siapkan insentif pajak untuk industri ramah lingkungan",ekonomi
"Menteri desa bangun 10000 desa digital",politik
"Serial drama Korea versi remake Indonesia tayang perdana",hiburan
"Teknologi carbon capture and storage diuji di pabrik semen",teknologi
"Atlet sepeda BMX Indonesia juara Asian Championship",olahraga
"Investasi sektor properti meningkat di kuartal kedua",ekonomi
"Komisi I DPR bahas pengadaan alutsista TNI",politik
"Penyanyi Indonesia jadi brand ambassador merek fashion global",hiburan
"Startup teknologi pertanian raih penghargaan inovasi",teknologi
"Kejuaraan panjat tebing Asia digelar di Indonesia",olahraga
"Kementerian keuangan terbitkan sukuk ritel untuk infrastruktur",ekonomi
"Menteri koordinator bidang maritim bahas tol laut",politik
"Film horor Indonesia remake dari film klasik 80-an",hiburan
"Teknologi wireless power transmission untuk device charging",teknologi
"Atlet berkuda Indonesia raih medali di SEA Games",olahraga
"Cadangan pangan beras nasional aman hingga 6 bulan ke depan",ekonomi
"Pemerintah revisi aturan tentang tenaga kerja asing",politik
"Festival film pendek internasional digelar di Yogyakarta",hiburan
"Perusahaan teknologi luncurkan sistem operasi mobile buatan lokal",teknologi
"Tim rugby Indonesia juara Asia Sevens Series",olahraga
"Lembaga penjamin simpanan tingkatkan program edukasi nasabah",ekonomi
"Menteri pemberdayaan perempuan luncurkan program anti kekerasan",politik
"Penari kontemporer Indonesia tampil di New York",hiburan
"Teknologi autonomous underwater vehicle untuk eksplorasi laut",teknologi
"Atlet angkat besi remaja pecahkan rekor dunia junior",olahraga
"Pemerintah subsidi bunga kredit usaha rakyat",ekonomi
"DPR gelar paripurna istimewa peringatan hari bersejarah",politik
"Konser musik indie festival hadirkan 50 band lokal",hiburan
"Startup mobility luncurkan skuter listrik sharing",teknologi
"Kejuaraan dayung internasional diikuti 30 negara",olahraga
"Harga cabai rawit turun 40 persen setelah panen raya",ekonomi
"Menteri agama luncurkan program moderasi beragama",politik
"Peluncuran album kolaborasi musisi lintas genre",hiburan
"Teknologi smart farming dengan drone monitoring tanaman",teknologi
"Atlet menembak Indonesia raih quota place olimpiade",olahraga
"Bank perkreditan rakyat salurkan kredit mikro 50 triliun",ekonomi
"Pemerintah bentuk tim khusus percepatan investasi",politik
"Film dokumenter tentang satwa langka Indonesia raih award",hiburan
"Perusahaan teknologi kembangkan kacamata AR untuk konsumen",teknologi
"Tim sepak bola pantai Indonesia juara ASEAN Beach Games",olahraga
"Pertamina temukan cadangan migas baru di Kalimantan",ekonomi
"Menteri perhubungan resmikan bandara baru di Papua",politik
"Penyanyi dangdut koplo viral kolaborasi dengan DJ EDM",hiburan
"Teknologi air purifier dengan UV-C dan HEPA filter diluncurkan",teknologi
"Atlet kano Indonesia raih medali di kejuaraan dunia",olahraga
"Penjualan online retail tumbuh 35 persen tahun ini",ekonomi
"Komisi IX DPR bahas jaminan kesehatan nasional",politik
"Festival musik dangdut terbesar se-Asia Tenggara",hiburan
"Startup proptech luncurkan platform jual beli properti digital",teknologi
"Kejuaraan senam artistik nasional lahirkan bibit atlet muda",olahraga
"Kementerian perdagangan buka akses pasar baru untuk ekspor",ekonomi
"Presiden lantik kepala badan intelijen negara yang baru",politik
"Sutradara Indonesia garap film di Hollywood",hiburan
"Teknologi biometric authentication untuk transaksi perbankan",teknologi
"Tim voli pantai putri Indonesia juara Asian Beach Games",olahraga
"Industri otomotif nasional produksi 1 juta unit tahun ini",ekonomi
"Menteri pendidikan tinggi dorong universitas masuk ranking dunia",politik
"Aktor Indonesia main film bareng aktor Hollywood",hiburan
"Perusahaan teknologi luncurkan smart home ecosystem terintegrasi",teknologi
"Atlet pencak silat raih emas di kejuaraan dunia Belanda",olahraga
"Pemerintah alokasikan dana desa 80 triliun tahun depan",ekonomi
"Menteri pemuda dan olahraga resmikan sport science center",politik
"Serial drama sejarah Indonesia produksi internasional",hiburan
"Teknologi neural interface untuk kontrol device dengan pikiran",teknologi
"Kejuaraan tinju remaja Asia digelar di Jakarta",olahraga
"Bank syariah merger jadi bank syariah terbesar di Indonesia",ekonomi
"DPR sahkan RUU tentang perlindungan data pribadi",politik
"Komposer Indonesia garap musik untuk film animasi Disney",hiburan
"Startup insurtech luncurkan asuransi mikro berbasis aplikasi",teknologi
"Atlet triathlon remaja Indonesia juara Asia Junior",olahraga
"Pemerintah bangun kawasan industri hijau di 5 provinsi",ekonomi
"Menteri luar negeri hadiri forum ekonomi dunia",politik
"Penyanyi jazz Indonesia tampil di Montreux Jazz Festival",hiburan
"Teknologi smart helmet dengan head-up display untuk pengendara",teknologi
"Tim balap perahu naga Indonesia juara kejuaraan internasional",olahraga
"Ekspor kopi Indonesia naik 25 persen ke pasar Eropa",ekonomi
"Presiden buka konferensi tingkat tinggi forum ekonomi",politik
"Festival film horor Indonesia tampilkan 30 film terbaik",hiburan
"Perusahaan teknologi kembangkan AI untuk prediksi cuaca akurat",teknologi
"Atlet lompat jauh Indonesia pecahkan rekor SEA Games",olahraga
"Kementerian ESDM dorong penggunaan energi terbarukan",ekonomi
"Menteri koperasi dan UKM luncurkan program digitalisasi UMKM",politik
"Penari balet Indonesia jadi principal dancer di New York",hiburan
"Teknologi holographic display 3D tanpa kacamata khusus",teknologi
"Kejuaraan gulat Asia digelar di Indonesia tahun depan",olahraga
"Nilai tukar rupiah stabil di tengah volatilitas global",ekonomi
"Pemerintah daerah terapkan smart city di 25 kota",politik
"Film musikal Indonesia raih box office terbaik tahun ini",hiburan
"Startup cybersecurity raih pendanaan 30 juta dolar",teknologi
"Atlet panahan compound Indonesia juara dunia",olahraga
"Harga komoditas sawit naik di pasar internasional",ekonomi
"Menteri komunikasi luncurkan satelit telekomunikasi",politik
"Penyanyi Indonesia kolaborasi dengan produser Grammy winner",hiburan
"Teknologi self-healing material untuk smartphone screen",teknologi
"Tim futsal putri Indonesia juara AFF",olahraga
"Penjualan obligasi korporasi mencapai rekor tertinggi",ekonomi
"DPR setujui ratifikasi perjanjian kerjasama internasional",politik
"Reality show memasak celebrity chef Indonesia rating tinggi",hiburan
"Perusahaan teknologi luncurkan router WiFi 7 generasi terbaru",teknologi
"Atlet sepeda trek Indonesia raih medali Asian Track Championship",olahraga
"Industri tekstil Indonesia ekspor ke 50 negara",ekonomi
"Menteri kesehatan luncurkan aplikasi rekam medis elektronik",politik
"Konser musik orkestra gamelan modern kolaborasi internasional",hiburan
"Teknologi smart ring untuk health monitoring diluncurkan",teknologi
"Kejuaraan pencak silat pelajar diikuti ribuan peserta",olahraga
"Jokowi resmikan jalan tol Trans Sumatera, menghubungkan tiga provinsi",Politik
"Presiden pimpin rapat terbatas evaluasi kinerja menteri di Istana Negara",Politik
"DPR sahkan RUU Ibu Kota Negara (IKN), proses pemindahan dimulai",Politik
"Mahfud MD umumkan hasil audit dana haji, ditemukan indikasi penyimpangan",Politik
"Survei Litbang Kompas: Elektabilitas Ganjar Pranowo unggul tipis dari Prabowo Subianto",Politik
"KPK tetapkan tiga anggota DPR sebagai tersangka kasus suap izin proyek",Politik
"Kepala BIN buka suara soal ancaman terorisme jelang pemilu 2024",Politik
"Pemerintah kaji ulang sistem proporsional terbuka dalam pemilihan legislatif",Politik
"PDI Perjuangan gelar Rakernas, fokus bahas strategi pemenangan",Politik
"Gubernur Jawa Barat Ridwan Kamil mundur dari jabatan, maju Pilpres 2024",Politik
"Menteri Pertahanan Prabowo Subianto teken kontrak alutsista baru dari Korea Selatan",Politik
"Sidang Paripurna DPR RI diwarnai interupsi panas antar fraksi",Politik
"Polisi bubarkan aksi demo buruh di depan gedung parlemen, ratusan diamankan",Politik
"Pemerintah resmi menaikkan harga BBM jenis Pertalite dan Solar",Politik
"Komisi III DPR panggil Kapolri soal penanganan kasus Tragedi Kanjuruhan",Politik
"Wacana perpanjangan masa jabatan Presiden tiga periode kembali mencuat",Politik
"Masyarakat sipil gugat Undang-Undang Cipta Kerja ke Mahkamah Konstitusi",Politik
"Juru bicara Presiden klarifikasi isu reshuffle kabinet, sebut hanya rotasi biasa",Politik
"Bupati nonaktif ditetapkan tersangka korupsi dana bantuan sosial COVID-19",Politik
"Jokowi tegaskan netralitas TNI-Polri di Pemilu, larang ikut politik praktis",Politik
"Fraksi PKS Walk Out dari rapat pembahasan APBN 2024",Politik
"Debat Capres kedua fokus pada isu lingkungan hidup dan sumber daya alam",Politik
"Menteri Agama Yaqut Cholil Qoumas luncurkan program moderasi beragama",Politik
"Ketua MPR Bambang Soesatyo dorong percepatan revisi UU Pemilu",Politik
"KPU umumkan daftar pemilih tetap (DPT) Pemilu 2024",Politik
"BI pertahankan suku bunga acuan di 6.25%, respons inflasi global",Ekonomi
"Rupiah anjlok hingga Rp16.800 per dolar AS, BI lakukan intervensi pasar",Ekonomi
"Harga minyak dunia melonjak pasca konflik di Timur Tengah",Ekonomi
"IHSG ditutup menguat 1% didorong sektor perbankan dan energi",Ekonomi
"Laba bersih Bank Mandiri tembus Rp50 triliun, tertinggi sepanjang sejarah",Ekonomi
"OJK cabut izin usaha tiga perusahaan asuransi gagal bayar",Ekonomi
"Pemerintah optimistis pertumbuhan ekonomi 2024 capai 5.3%",Ekonomi
"Inflasi pangan melonjak, BPS sebut cabai dan bawang penyumbang terbesar",Ekonomi
"Kementerian Keuangan siapkan skema pajak karbon untuk industri batu bara",Ekonomi
"Startup unicorn X Tokopedia akuisisi e-commerce B, fokus e-groceries",Ekonomi
"Investor asing ramai-ramai borong saham sektor teknologi di BEI",Ekonomi
"Harga komoditas CPO anjlok akibat suplai berlebih dari Malaysia",Ekonomi
"Bank Dunia: Perlambatan ekonomi China pengaruhi prospek Asia",Ekonomi
"Pemerintah alokasikan Rp25 triliun untuk subsidi kendaraan listrik",Ekonomi
"Daftar 10 orang terkaya di Indonesia versi Forbes, Hartono bersaudara tetap teratas",Ekonomi
"Kenaikan tarif PPN menjadi 11% dikeluhkan pengusaha ritel",Ekonomi
"Gojek dan Grab terlibat perang tarif, pengemudi ojol menuntut keadilan",Ekonomi
"Ekspor nikel Indonesia tembus $30 miliar, efek hilirisasi industri",Ekonomi
"PT KAI luncurkan kereta cepat Jakarta-Bandung, tiket ludes dalam hitungan menit",Ekonomi
"Bappebti atur aset kripto sebagai komoditas, bukan mata uang",Ekonomi
"Dirut Pertamina ungkap rencana pembangunan kilang minyak baru",Ekonomi
"BPJS Kesehatan wajibkan peserta mandiri bayar iuran via autodebet",Ekonomi
"Harga emas Antam cetak rekor Rp1.300.000 per gram",Ekonomi
"Dana kelolaan reksadana syariah tumbuh 20% di kuartal pertama",Ekonomi
"Rencana merger dua bank BUMN ditunda, tunggu izin OJK",Ekonomi
"Elon Musk: Twitter (X) akan menjadi super-app, tambah fitur pembayaran",Teknologi
"Apple rilis Vision Pro, kacamata AR/VR, dijual Rp50 juta",Teknologi
"Google luncurkan Gemini, model AI generatif yang lebih canggih dari GPT-4",Teknologi
"Startup EdTech Zenius bangkrut, kesulitan modal di tengah persaingan ketat",Teknologi
"Kasus kebocoran data KPU: 200 juta data pemilih bocor di dark web",Teknologi
"Samsung Galaxy S24 Ultra pamer kemampuan AI Zoom, foto bulan lebih detail",Teknologi
"Microsoft investasikan $10 miliar untuk pengembangan OpenAI",Teknologi
"Ancaman deepfake jelang pemilu, Kemenkominfo siapkan filter AI",Teknologi
"Perusahaan chip TSMC umumkan terobosan produksi 2nm",Teknologi
